Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2017-01-30,7.558814e-06,0.06418663,0.9242351,0.98842174,0.98842174,0.00035683112,0.018889975,0.0006528453
2017-01-31,7.665024e-06,0.06363074,0.92476803,0.9883988,0.9883988,0.00034435894,0.018556911,0.00066070905
2017-02-01,7.722611e-06,0.06320099,0.92521393,0.98841494,0.98841494,0.000326759,0.018076476,0.00066660106
2017-02-02,7.203608e-06,0.06552123,0.9231312,0.98865247,0.98865247,0.00033487333,0.018299544,0.0006348172
2017-02-03,7.2872976e-06,0.06580653,0.92264944,0.98845595,0.98845595,0.00031916262,0.017865123,0.0006312601
2017-02-06,7.571786e-06,0.063860655,0.92461866,0.9884793,0.9884793,0.00030351712,0.017421743,0.0006572341
2017-02-07,7.369633e-06,0.06529913,0.9231516,0.98845077,0.98845077,0.00030372792,0.01742779,0.00063810573
2017-02-08,7.5633784e-06,0.06414209,0.924287,0.9884291,0.9884291,0.00030491737,0.017461883,0.0006536568
2017-02-09,7.512163e-06,0.064198054,0.9242893,0.98848736,0.98848736,0.00028997764,0.01702873,0.0006525145
2017-02-10,7.4797276e-06,0.06437178,0.92412496,0.9884967,0.9884967,0.0002852365,0.016888946,0.0006502257
2017-02-13,7.5378375e-06,0.063999005,0.9244981,0.9884971,0.9884971,0.00028726176,0.016948799,0.00065529766
2017-02-14,7.341e-06,0.06560695,0.9228246,0.9884316,0.9884316,0.00029306157,0.01711904,0.000634572
2017-02-15,7.5464613e-06,0.064002514,0.9244817,0.9884842,0.9884842,0.00027932858,0.016713126,0.0006553139
2017-02-16,7.5276057e-06,0.06419301,0.9242732,0.9884662,0.9884662,0.00026601937,0.0163101,0.00065265637
2017-02-17,7.4717245e-06,0.064495265,0.92398417,0.98847944,0.98847944,0.0002546779,0.015958631,0.0006485554
2017-02-21,7.351898e-06,0.06503909,0.923495,0.9885341,0.9885341,0.00024280693,0.0155822635,0.0006411964
2017-02-22,7.0867795e-06,0.066362865,0.9222999,0.9886628,0.9886628,0.00024101975,0.015524811,0.0006250897
2017-02-23,7.3551078e-06,0.065121934,0.92340934,0.9885313,0.9885313,0.00023471928,0.015320551,0.0006413196
2017-02-24,7.280928e-06,0.065093316,0.92353904,0.9886324,0.9886324,0.00024011248,0.015495563,0.0006404972
2017-02-27,7.343211e-06,0.065280564,0.9232236,0.9885042,0.9885042,0.0002339863,0.015296611,0.0006387718
2017-02-28,7.3966958e-06,0.064635634,0.92392576,0.9885614,0.9885614,0.00022341458,0.01494706,0.000646643
2017-03-01,7.195886e-06,0.065860264,0.92272854,0.9885888,0.9885888,0.00021387708,0.014624537,0.0006305991
2017-03-02,6.8345676e-06,0.06758717,0.92118037,0.98876756,0.9887675,0.00020538879,0.014331392,0.0006084671
2017-03-03,6.9098414e-06,0.06794872,0.9206336,0.9885823,0.9885823,0.0002322968,0.015241287,0.0006051875
2017-03-06,7.313093e-06,0.06520457,0.9233508,0.9885554,0.9885554,0.0002328884,0.0152606815,0.0006389979
2017-03-07,7.3032984e-06,0.06516906,0.92340976,0.9885788,0.9885788,0.00022281872,0.014927113,0.00063945085
2017-03-08,7.304421e-06,0.06509555,0.92349887,0.9885944,0.9885944,0.000213178,0.014600617,0.00064042484
2017-03-09,7.27097e-06,0.06644273,0.9219489,0.98839164,0.98839164,0.00040512427,0.020127699,0.0006263562
2017-03-10,7.5724743e-06,0.06455563,0.92380244,0.9883581,0.9883581,0.00040822895,0.020204676,0.00065044896
2017-03-13,7.635532e-06,0.0643528,0.9239609,0.98831373,0.98831373,0.00040205594,0.020051332,0.00065337657
2017-03-14,7.7772975e-06,0.06352233,0.92476565,0.988288,0.988288,0.00037940222,0.01947825,0.0006640444
2017-03-15,7.792132e-06,0.06335257,0.9249673,0.9883199,0.9883199,0.0003717845,0.019281713,0.0006671274
2017-03-16,7.708584e-06,0.06345125,0.92493653,0.98838776,0.98838776,0.00038628172,0.01965405,0.0006638329
2017-03-17,7.7732e-06,0.06320385,0.9251569,0.98836076,0.98836076,0.00036538873,0.019115144,0.00066784443
2017-03-20,7.3904534e-06,0.0649938,0.9234909,0.9884847,0.9884847,0.00034582408,0.018596346,0.0006417932
2017-03-21,7.4868162e-06,0.06440271,0.9240758,0.9884785,0.9884785,0.00033578213,0.018324358,0.0006498116
2017-03-22,7.4384743e-06,0.06465464,0.9238441,0.98849875,0.98849875,0.00034019136,0.018444277,0.0006467534
2017-03-23,7.660256e-06,0.063479275,0.92496,0.98843926,0.9884393,0.00033520392,0.018308574,0.00066260964
2017-03-24,7.61052e-06,0.06392498,0.92448145,0.9884064,0.9884064,0.00032113126,0.017920136,0.0006564426
2017-03-27,7.603807e-06,0.063791946,0.9246543,0.98844624,0.98844624,0.00030635874,0.017503107,0.00065812375
2017-03-28,7.585869e-06,0.063778356,0.92469937,0.9884777,0.9884777,0.00029264067,0.017106744,0.0006583645
2017-03-29,7.4175027e-06,0.064491786,0.92407113,0.98856294,0.98856294,0.00028910447,0.017003072,0.0006485499
2017-03-30,7.337367e-06,0.0648676,0.9237295,0.9885971,0.9885971,0.00030885497,0.01757427,0.00064346474
2017-03-31,7.4453264e-06,0.06434148,0.92421496,0.98855644,0.98855644,0.00031047998,0.017620442,0.00065061304
2017-04-03,7.480022e-06,0.06420745,0.92432785,0.9885353,0.9885353,0.00029582577,0.017199587,0.00065243855
2017-04-04,7.4562636e-06,0.064538985,0.92395496,0.988494,0.9884939,0.00028441538,0.016864618,0.0006480315
2017-04-05,7.167668e-06,0.06580088,0.9228421,0.988643,0.988643,0.0002854776,0.016896082,0.00063112285
