market,seed,model,qlike,mse_variance,n_obs,n_violations,violation_rate,kupiec_pvalue,chris_p_cc
nat_gas,0,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,1,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,2,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,3,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,4,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,5,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,6,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,7,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,8,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,9,EGARCH,-5.5038550586699415,1.3226654509681579e-05,1423,16,0.011243851018973999,0.6438154707300348,0.7490316056034324
nat_gas,0,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,1,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,2,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,3,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,4,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,5,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,6,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,7,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,8,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,9,EWMA,-5.4554302360763,2.0932994167094923e-05,1423,15,0.010541110330288124,0.8388549672532466,0.8347733345029134
nat_gas,0,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,1,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,2,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,3,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,4,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,5,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,6,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,7,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,8,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,9,GJRGARCH,-5.472678785443301,2.1568532998412917e-05,1423,19,0.013352073085031623,0.22669816800211937,0.37230458175484077
nat_gas,0,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,1,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,2,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,3,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,4,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,5,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,6,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,7,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,8,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,9,StaticGARCH,-5.481191197960323,1.865013600107821e-05,1423,17,0.011946591707659873,0.4739629844661798,0.6299846270223497
nat_gas,0,nat_gas GARCHNet,-5.4096768981419565,1.221795887210782e-05,1423,22,0.015460295151089248,0.055290748013449555,0.11277321225157039
nat_gas,1,nat_gas GARCHNet,-5.432995737207162,1.2266038710766764e-05,1423,25,0.017568517217146872,0.009540620649785576,0.022219835032645064
nat_gas,2,nat_gas GARCHNet,-5.457004573961903,1.192127449106019e-05,1423,20,0.014054813773717497,0.14740906731770603,0.26322500576584223
nat_gas,3,nat_gas GARCHNet,-5.437777418001517,1.1695736727467664e-05,1423,22,0.015460295151089248,0.055290748013449555,0.11277321225157039
nat_gas,4,nat_gas GARCHNet,-5.370075323077953,1.2160405413799129e-05,1423,21,0.014757554462403373,0.09207435917528507,0.1766383955475049
nat_gas,5,nat_gas GARCHNet,-5.368990711526827,1.1723476388504899e-05,1423,24,0.016865776528460996,0.0177811698841787,0.03992198380559344
nat_gas,6,nat_gas GARCHNet,-5.375147016600005,1.2090789264231756e-05,1423,24,0.016865776528460996,0.0177811698841787,0.03992198380559344
nat_gas,7,nat_gas GARCHNet,-5.381398457162821,1.1852720630415757e-05,1423,21,0.014757554462403373,0.09207435917528507,0.1766383955475049
