Date,omega,alpha,beta,persistence,sigma2,sigma
2022-03-07,1.5459023e-07,0.033980824,0.9261257,0.96010655,0.002822776,0.053129803
2022-03-08,0.00023985431,0.12443763,0.7435908,0.8680284,0.0026479948,0.05145867
2022-03-09,7.4270025e-07,0.044988275,0.90009797,0.94508624,0.0023628098,0.048608743
2022-03-10,3.1700614e-07,0.0404733,0.9244875,0.96496075,0.0028816918,0.053681392
2022-03-11,0.00028939586,0.12729256,0.74003434,0.8673269,0.002690052,0.05186571
2022-03-14,0.00037734292,0.12657756,0.7309421,0.8575196,0.002398807,0.048977617
2022-03-15,0.0010803767,0.14401758,0.7026331,0.84665066,0.002582676,0.050820034
2022-03-16,0.00049075903,0.1410009,0.7206721,0.861673,0.0035245572,0.05936798
2022-03-17,0.00065168267,0.12989393,0.71167,0.84156394,0.0030618277,0.055333786
2022-03-18,1.9600482e-05,0.06788445,0.8315953,0.89947975,0.0036625995,0.060519416
2022-03-21,0.0003991384,0.110107586,0.7402268,0.8503344,0.0030835602,0.055529814
2022-03-22,5.4899156e-05,0.07605228,0.81460303,0.8906553,0.003194738,0.05652201
2022-03-23,0.00011360121,0.098821275,0.7800449,0.8788662,0.0026582342,0.051558066
2022-03-24,3.5149326e-06,0.0585147,0.86992407,0.9284388,0.0022633004,0.047574155
2022-03-25,0.00014309662,0.0977702,0.78070426,0.8784745,0.0020033745,0.044759072
2022-03-28,0.000114174596,0.1225979,0.7604464,0.88304436,0.0017251757,0.041535232
2022-03-29,7.480402e-05,0.097446375,0.80530065,0.90274704,0.002069916,0.04549633
2022-03-30,0.0011303616,0.15852344,0.67257464,0.8310981,0.0017684789,0.042053286
2022-03-31,9.6094125e-05,0.109707385,0.77073056,0.88043797,0.0024983196,0.049983192
2022-04-01,0.00012505011,0.1022662,0.7853209,0.8875871,0.0026015523,0.051005416
2022-04-04,0.00019643859,0.14746928,0.7241562,0.8716255,0.0021790196,0.04667997
2022-04-05,6.363327e-05,0.09313981,0.78974324,0.8828831,0.002003216,0.0447573
2022-04-06,0.00029009537,0.13506842,0.72487605,0.85994446,0.0016615749,0.04076242
2022-04-07,0.00013619447,0.10946461,0.7709523,0.88041687,0.001949657,0.04415492
2022-04-08,0.00019174081,0.13361278,0.73291105,0.86652386,0.0016398607,0.040495194
2022-04-11,6.20852e-05,0.09841868,0.78737664,0.88579535,0.0014627511,0.038245928
2022-04-12,0.0002217962,0.11944285,0.74922884,0.86867166,0.0013829207,0.03718764
2022-04-13,1.09368075e-05,0.06939629,0.84012246,0.9095187,0.0017558846,0.041903276
2022-04-14,8.431109e-06,0.067010656,0.8476379,0.91464853,0.0015732109,0.039663725
2022-04-18,4.2075946e-05,0.09966659,0.7899777,0.8896443,0.0013850433,0.037216168
2022-04-19,6.313257e-05,0.10943019,0.77610564,0.88553584,0.0011494183,0.033903074
2022-04-20,8.1865444e-05,0.08897713,0.8023845,0.8913616,0.0012723496,0.03567001
2022-04-21,3.0203368e-05,0.10046994,0.7986192,0.89908916,0.001103019,0.03321173
