Date,nat_gas GARCHNet | qlike,nat_gas GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2021-01-04,-6.071933649973207,1.1142615845896108e-06,-6.003767813980855,1.5139985469613185e-06,-5.954692024092191,1.8556119626746821e-06,-5.99893839274037,1.545506909437945e-06,-5.960521259314001,1.8124744347330856e-06
2021-01-05,-5.838328179558384,1.8872509656815735e-07,-5.781120533734286,4.73870441218978e-07,-5.752873626013648,6.489212461068883e-07,-5.783718179869795,4.5893239886258814e-07,-5.753137648282433,6.471764409319935e-07
2021-01-06,-5.606565467213372,2.500207520918828e-08,-5.584547854106345,1.4075650528515748e-07,-5.574013928020362,2.0592059522188218e-07,-5.584405967728776,1.4159519746751816e-07,-5.568559763243724,2.419103477567675e-07
2021-01-07,-6.318876240452406,8.034239031264816e-07,-6.172590111743461,1.4281326734084767e-06,-6.140263638493883,1.6034418783817694e-06,-6.198173153777948,1.2998177616263112e-06,-6.120504985142073,1.7182645639917773e-06
2021-01-08,-6.2561772239663895,4.772025958048263e-07,-6.134893520836569,9.349377873560834e-07,-6.107844336718459,1.0637810535323325e-06,-6.178478027409958,7.490414272004705e-07,-6.087521120457071,1.1678523014978196e-06
2021-01-11,-4.661908549154672,1.6223377362681361e-06,-4.839570082216667,1.0363669259747663e-06,-4.867902859683033,9.167822058442471e-07,-4.778592133603695,1.264563105398159e-06,-4.888502534191515,8.230555336653935e-07
2021-01-12,-5.446782158941154,1.6614498294362432e-07,-5.4974611276916665,2.135790022000588e-08,-5.500700359988075,9.085833228692765e-09,-5.484796524357018,6.376688927426703e-08,-5.50255693017959,1.5168440170388347e-09
2021-01-13,-6.2239738679946885,1.7800831570615034e-07,-6.152074288748633,3.7690839876000065e-07,-6.134585926299448,4.3539244925618376e-07,-6.206816104003832,2.196497556072483e-07,-6.112926016851276,5.137020944483036e-07
2021-01-14,-6.0604491703030225,5.7357127276425754e-08,-6.031356866047795,1.327153519591064e-07,-6.020204250849629,1.6589034782599373e-07,-6.064415330043124,4.838753952815631e-08,-6.0053957432781955,2.135493812734937e-07
2021-01-15,-5.617696785010743,4.6437109323350367e-08,-5.626117281824692,2.5118215715354604e-08,-5.630746526462623,1.227861505032647e-08,-5.608706806287856,6.723916270026602e-08,-5.633399855171351,4.335059135163482e-09
2021-01-19,-5.72192938439558,2.778187578535971e-09,-5.720821066774827,5.650516912101844e-09,-5.722323009379513,1.726846725480219e-09,-5.712118562824269,2.5910850944764864e-08,-5.722896626426515,1.5138196021240656e-10
2021-01-20,-6.0917838672045495,2.9505947347726674e-07,-6.059816830093883,4.0677483452415367e-07,-6.018108345097492,5.774203515555954e-07,-6.072137298165712,3.6182190056270734e-07,-6.0305172711354595,5.235912820008983e-07
2021-01-21,-6.307826911153737,5.024926930856444e-07,-6.269977027243076,6.19946933257556e-07,-6.2173175349187035,8.093431311315063e-07,-6.30850981818485,5.00507503792093e-07,-6.230930527486176,7.573150473359392e-07
2021-01-22,-6.323820271911512,5.105541488238165e-07,-6.3090576354184424,5.539737950776245e-07,-6.255914520839154,7.287448523390043e-07,-6.334592748447574,4.801974447774583e-07,-6.270273147182534,6.785586007104601e-07
2021-01-25,-6.125055040894619,2.0750602082970204e-07,-6.12838525751059,1.9826921084907195e-07,-6.093208519652725,3.040693397291635e-07,-6.137136624042607,1.7476035562078828e-07,-6.103476940657766,2.7128808936031156e-07
2021-01-26,-6.314675984673945,7.634030904974114e-07,-6.300422647552262,8.127798067511934e-07,-6.27765210722298,8.960908882664413e-07,-6.328898109402553,7.161816964886903e-07,-6.263222377665662,9.518161073462905e-07
2021-01-27,-6.103401126326822,2.190860941282452e-07,-6.082867825290277,2.824820987054376e-07,-6.071410628546082,3.206961177884409e-07,-6.099770131634225,2.2982710142723315e-07,-6.0591530633125394,3.6388221377793394e-07
2021-01-28,-6.195759689646217,3.619855557474221e-07,-6.171919098287367,4.370863988755731e-07,-6.167566320983791,4.5157497639603815e-07,-6.187148091327272,3.882939610363509e-07,-6.144043155525088,5.341743394445972e-07
2021-01-29,-5.669724315763631,2.308957941042917e-09,-5.6704373151497975,1.4056883365338185e-10,-5.669938343202127,1.8215957213108976e-09,-5.670023270427889,1.5306796145037621e-09,-5.668661044563602,6.345151020717624e-09
2021-02-01,-5.783357386605305,1.0836765132688425e-08,-5.77879710860762,2.535048770472768e-08,-5.773097590785197,4.505998242312054e-08,-5.767962209502162,6.409473054798486e-08,-5.771527348526163,5.0758310489171814e-08
2021-02-02,-5.402924406602859,2.2568318932645258e-07,-5.422501017509176,7.147073370341466e-08,-5.429259387547008,2.6456544358079857e-08,-5.431100714006336,1.5176952242035203e-08,-5.4165056842251635,1.1525505304510523e-07
2021-02-03,-5.792265805461794,6.359447357754562e-07,-5.794913631540874,6.195630672311266e-07,-5.819944291313158,4.7407963305137505e-07,-5.845869026881338,3.408039171422831e-07,-5.775475526697632,7.443541292478737e-07
