Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2017-06-05,7.2008934e-06,0.070548475,0.918537,0.9890855,0.9890855,0.00044367652,0.02106363,0.0006597545
2017-06-06,8.587615e-06,0.062319595,0.9263253,0.9886449,0.9886449,0.00041685175,0.020416947,0.0007562781
2017-06-07,7.542892e-06,0.067773,0.92125905,0.98903203,0.98903203,0.00041997334,0.02049325,0.00068771996
2017-06-08,6.2720314e-06,0.08633486,0.90243053,0.9887654,0.9887654,0.00039781787,0.019945372,0.00055827905
2017-06-09,7.331541e-06,0.06749495,0.9217451,0.98924005,0.98924005,0.00036597706,0.019130526,0.0006813732
2017-06-12,7.118662e-06,0.06851341,0.92076683,0.9892802,0.9892802,0.00034566032,0.018591942,0.00066406815
2017-06-13,7.3395067e-06,0.06776237,0.9214433,0.98920566,0.98920566,0.00032693188,0.018081257,0.0006799402
2017-06-14,8.594536e-06,0.061536156,0.9270306,0.98856676,0.98856676,0.00033346497,0.018261023,0.0007517146
2017-06-15,6.8091604e-06,0.07677248,0.912212,0.98898447,0.98898447,0.00032514887,0.018031884,0.0006181416
2017-06-16,6.9904827e-06,0.07162993,0.9174899,0.9891198,0.9891198,0.000434282,0.020839434,0.00064249744
2017-06-19,7.0991655e-06,0.06888578,0.920406,0.9892918,0.9892918,0.00040804493,0.020200122,0.00066296454
2017-06-20,6.7833e-06,0.07813071,0.9107322,0.98886293,0.98886293,0.00054154097,0.023271034,0.0006090741
2017-06-21,6.614388e-06,0.080652826,0.9082065,0.98885936,0.98885936,0.0005016992,0.022398643,0.0005937168
2017-06-22,6.4303013e-06,0.07561205,0.9136088,0.98922086,0.98922086,0.0004639836,0.021540279,0.00059655035
2017-06-23,6.835858e-06,0.07036041,0.91895604,0.98931646,0.98931646,0.0004303528,0.020744946,0.00063984975
2017-06-26,6.987891e-06,0.070499755,0.91871244,0.9892122,0.9892122,0.00041283073,0.020318236,0.0006477596
2017-06-27,7.3510037e-06,0.06967605,0.9193528,0.9890289,0.9890289,0.00046358028,0.021530915,0.00067003164
2017-06-28,7.694707e-06,0.066326074,0.9227444,0.9890705,0.9890705,0.00043440043,0.020842275,0.0007040294
2017-06-29,7.1778645e-06,0.070219204,0.9188802,0.98909944,0.98909944,0.00041521536,0.020376833,0.00065848604
2017-06-30,7.105687e-06,0.0694996,0.9197319,0.9892315,0.9892315,0.00039318108,0.019828795,0.0006598602
2017-07-03,7.1336062e-06,0.06790449,0.9214418,0.98934627,0.98934627,0.0003690327,0.019210223,0.0006695874
2017-07-05,1.09063285e-05,0.05324905,0.93440646,0.9876555,0.9876555,0.00039988686,0.019997172,0.00088349846
2017-07-06,8.14595e-06,0.10208001,0.88462156,0.98670155,0.98670155,0.0004619982,0.021494143,0.0006125488
2017-07-07,7.5068324e-06,0.06692728,0.92217296,0.9891002,0.9891002,0.00044622357,0.021124005,0.000688714
