Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2021-06-24,1.1743213e-06,0.08198695,0.9081274,0.9901144,0.9901144,0.00013289324,0.011527933,0.00011879099
2021-06-25,9.981507e-07,0.13870737,0.8492079,0.9879153,0.9879153,0.00012453417,0.011159488,8.2596074e-05
2021-06-28,1.0619082e-06,0.12238804,0.8661046,0.98849267,0.98849267,0.00010831984,0.010407682,9.2281e-05
2021-06-29,1.0552434e-06,0.13085237,0.8571526,0.988005,0.9880049,9.528741e-05,0.009761527,8.797347e-05
2021-06-30,1.0891406e-06,0.15650359,0.82941437,0.9859179,0.9859179,8.2747356e-05,0.009096557,7.7342345e-05
2021-07-01,2.3826256e-06,0.11328361,0.8679302,0.9812138,0.9812138,6.978832e-05,0.00835394,0.00012682856
2021-07-02,1.5115528e-06,0.13983262,0.8434717,0.9833043,0.9833043,6.617944e-05,0.008135075,9.053557e-05
2021-07-06,1.3547411e-06,0.13434674,0.8505675,0.98491424,0.98491424,6.504957e-05,0.008065332,8.980266e-05
2021-07-07,2.2551558e-06,0.107796825,0.87436575,0.9821626,0.9821626,5.7225774e-05,0.007564772,0.00012642847
2021-07-08,1.4379458e-06,0.12768504,0.8572047,0.9848897,0.98488975,5.3495703e-05,0.0073140757,9.5163196e-05
2021-07-09,2.032252e-06,0.07182753,0.91503036,0.9868579,0.9868579,5.6233024e-05,0.0074988683,0.00015463667
2021-07-12,8.816685e-07,0.12359104,0.8655915,0.9891826,0.9891826,6.130514e-05,0.00782976,8.150459e-05
2021-07-13,1.0419502e-06,0.1420524,0.8448691,0.9869215,0.9869215,5.5367298e-05,0.0074409205,7.966888e-05
2021-07-14,1.4348531e-06,0.12217322,0.86317873,0.985352,0.9853519,4.9661256e-05,0.0070470744,9.7955424e-05
2021-07-15,1.4236808e-06,0.11739848,0.8687504,0.9861489,0.9861489,4.4509685e-05,0.0066715577,0.00010278463
2021-07-16,1.4501225e-06,0.12532595,0.8597721,0.98509806,0.985098,4.1618703e-05,0.006451256,9.731101e-05
2021-07-19,2.8424934e-06,0.07049816,0.9136715,0.98416966,0.98416966,4.5374174e-05,0.0067360355,0.00017955987
2021-07-20,3.5515639e-06,0.055041075,0.9298972,0.98493826,0.98493826,6.0296145e-05,0.0077650594,0.00023580043
2021-07-21,9.94224e-07,0.0847163,0.90628934,0.99100566,0.99100566,7.047568e-05,0.00839498,0.000110538844
2021-07-22,8.873699e-07,0.11938501,0.8703626,0.9897476,0.9897476,7.012373e-05,0.008373992,8.655227e-05
2021-07-23,1.0021753e-06,0.14385283,0.8438235,0.9876763,0.9876763,6.23544e-05,0.00789648,8.132112e-05
2021-07-26,8.513526e-07,0.1404947,0.848499,0.9889937,0.9889937,6.814789e-05,0.008255173,7.735142e-05
2021-07-27,1.3953783e-06,0.20351967,0.7746228,0.9781425,0.9781425,5.939646e-05,0.00770691,6.383979e-05
2021-07-28,3.7816928e-06,0.14540844,0.8262612,0.9716697,0.9716697,5.2003685e-05,0.007211358,0.00013348568
2021-07-29,2.850773e-06,0.16796228,0.80440784,0.97237015,0.97237015,4.6801895e-05,0.006841191,0.00010317728
2021-07-30,2.2437362e-06,0.17869896,0.79579246,0.9744914,0.9744914,4.312378e-05,0.0065668696,8.796005e-05
2021-08-02,5.830822e-06,0.11837749,0.85038686,0.96876436,0.96876436,4.112518e-05,0.0064128917,0.00018667211
2021-08-03,4.953239e-06,0.13115816,0.83828247,0.96944064,0.96944064,4.1421557e-05,0.006435958,0.00016208582
2021-08-04,3.046424e-06,0.1543684,0.81940985,0.97377825,0.97377825,4.789737e-05,0.0069207926,0.00011617927
2021-08-05,2.9002442e-06,0.1492008,0.8258216,0.9750224,0.9750224,4.6335077e-05,0.0068069873,0.0001161137
2021-08-06,1.7958303e-06,0.18091686,0.7968286,0.9777455,0.9777455,4.6766672e-05,0.0068386164,8.0695056e-05
2021-08-09,2.7585295e-06,0.16707094,0.8064048,0.97347575,0.97347575,3.9449504e-05,0.006280884,0.0001040003
2021-08-10,2.5651352e-06,0.17837548,0.79393905,0.97231454,0.97231454,3.4737626e-05,0.0058938633,9.265278e-05
2021-08-11,4.626421e-06,0.16310869,0.8010095,0.9641182,0.9641182,3.0344278e-05,0.005508564,0.00012893496
2021-08-12,3.932076e-06,0.16971268,0.7962104,0.9659231,0.9659231,2.979262e-05,0.005458262,0.00011538822
2021-08-13,4.230354e-06,0.17302984,0.7902117,0.9632415,0.9632415,2.8990547e-05,0.005384287,0.00011508511
2021-08-16,4.5823012e-06,0.17108977,0.79100597,0.96209574,0.96209574,2.760032e-05,0.0052536004,0.00012089145
2021-08-17,7.981966e-06,0.13999237,0.8184859,0.9584783,0.9584783,2.7217358e-05,0.005217026,0.00019223588
2021-08-18,7.787652e-06,0.103464365,0.86145043,0.9649148,0.9649148,3.6660487e-05,0.00605479,0.00022196402
2021-08-19,6.4691417e-06,0.095045045,0.8757346,0.97077966,0.97077966,5.2325937e-05,0.0072336667,0.00022139172
2021-08-20,8.108506e-06,0.11800839,0.8459101,0.96391845,0.96391845,5.246902e-05,0.00724355,0.0002247272
2021-08-23,3.5731098e-06,0.15318573,0.8199528,0.9731385,0.9731385,5.9562524e-05,0.007717676,0.0001330198
2021-08-24,2.1681265e-06,0.17665678,0.8000888,0.9767456,0.9767456,6.366926e-05,0.007979302,9.3235125e-05
2021-08-25,2.8769848e-06,0.18892863,0.77969015,0.96861875,0.96861875,5.3455813e-05,0.0073113483,9.167846e-05
