Date,omega,alpha,beta,rho,persistence,sigma2,sigma,sigma_bar2
2021-06-24,1.2612246e-06,0.07514631,0.9156311,0.99077743,0.99077743,0.00013289324,0.011527933,0.00013675418
2021-06-25,1.224156e-06,0.13029401,0.85870236,0.9889964,0.9889964,0.000125395,0.011197991,0.00011125036
2021-06-28,1.5489736e-06,0.09868036,0.8902517,0.9889321,0.9889321,0.00011037243,0.010505828,0.00013995156
2021-06-29,1.2770746e-06,0.119912915,0.86924446,0.9891574,0.9891574,0.000100138146,0.010006905,0.00011778283
2021-06-30,1.1560101e-06,0.1555204,0.83275396,0.98827434,0.98827434,8.833651e-05,0.00939875,9.8588025e-05
2021-07-01,2.461428e-06,0.1062709,0.87934357,0.9856145,0.9856145,7.4785494e-05,0.008647861,0.00017110455
2021-07-02,1.3711548e-06,0.14854804,0.8390515,0.9875995,0.9875995,7.124933e-05,0.008440931,0.000110572466
2021-07-06,1.4207758e-06,0.1344352,0.85356927,0.9880045,0.98800445,6.9351554e-05,0.008327758,0.000118442455
2021-07-07,1.7308242e-06,0.108547606,0.87924725,0.9877949,0.9877949,6.1159466e-05,0.007820452,0.00014181128
2021-07-08,1.3795745e-06,0.13179317,0.8564588,0.988252,0.9882519,5.6717792e-05,0.0075311214,0.00011743043
2021-07-09,1.6648121e-06,0.06677945,0.9229426,0.989722,0.989722,5.918192e-05,0.0076929787,0.00016197843
2021-07-12,1.0706106e-06,0.122104436,0.86785316,0.9899576,0.9899576,6.3554835e-05,0.007972129,0.00010660873
2021-07-13,1.1255657e-06,0.14497729,0.8438767,0.988854,0.988854,5.7630215e-05,0.0075914566,0.00010098374
2021-07-14,1.4097277e-06,0.11486364,0.87385917,0.9887228,0.9887228,5.163746e-05,0.007185921,0.0001250069
2021-07-15,1.6808089e-06,0.104315415,0.8838812,0.9881966,0.9881966,4.6729423e-05,0.0068358923,0.00014240053
2021-07-16,1.3484479e-06,0.12360064,0.865076,0.98867667,0.98867667,4.4341083e-05,0.00665891,0.00011908578
2021-07-19,2.0076634e-06,0.06981762,0.9187797,0.9885973,0.9885973,4.773623e-05,0.006909141,0.00017606872
2021-07-20,1.6612914e-06,0.060718723,0.9292306,0.9899493,0.9899493,6.170888e-05,0.0078555,0.00016529088
2021-07-21,1.132198e-06,0.09384058,0.8968089,0.9906495,0.9906495,7.097768e-05,0.008424825,0.0001210845
2021-07-22,1.0020414e-06,0.11849116,0.8718794,0.9903706,0.9903706,7.061008e-05,0.00840298,0.00010406032
2021-07-23,1.1041736e-06,0.13509166,0.85424054,0.9893322,0.9893322,6.2996216e-05,0.007937016,0.00010350527
2021-07-26,1.1669742e-06,0.11245343,0.87745416,0.98990756,0.9899076,6.85628e-05,0.008280265,0.00011562859
2021-07-27,1.6981157e-06,0.19758694,0.785528,0.98311496,0.98311496,6.190533e-05,0.007867994,0.00010056923
2021-07-28,3.3135661e-06,0.10495614,0.8782506,0.98320675,0.98320675,5.4790893e-05,0.007402087,0.00019731534
2021-07-29,2.6771088e-06,0.16037598,0.8215823,0.98195827,0.98195827,5.1470928e-05,0.0071743242,0.00014838426
2021-07-30,2.5702502e-06,0.16518848,0.8168384,0.9820269,0.9820269,4.7471334e-05,0.0068899444,0.00014300519
2021-08-02,4.135897e-06,0.09066378,0.89123535,0.98189914,0.98189914,4.5565474e-05,0.0067502204,0.00022849177
2021-08-03,3.4284421e-06,0.12511423,0.8567164,0.98183066,0.9818306,4.52191e-05,0.006724515,0.00018869378
2021-08-04,2.5271443e-06,0.13949174,0.8442252,0.98371696,0.98371696,5.0010713e-05,0.007071825,0.00015520105
2021-08-05,2.5554102e-06,0.13985923,0.8437383,0.9835976,0.9835975,4.839908e-05,0.0069569447,0.00015579468
2021-08-06,2.2552827e-06,0.16933154,0.8135708,0.98290235,0.98290235,4.8642753e-05,0.0069744354,0.00013190598
2021-08-09,3.1668894e-06,0.14619815,0.83517367,0.9813718,0.9813718,4.2193366e-05,0.006495642,0.00017000531
2021-08-10,2.8150355e-06,0.16750759,0.81348234,0.98098993,0.98098993,3.855166e-05,0.0062089986,0.00014808131
2021-08-11,3.634747e-06,0.1541685,0.8251516,0.9793201,0.9793201,3.4363555e-05,0.0058620437,0.00017576238
2021-08-12,3.5612188e-06,0.16404764,0.8148623,0.97890997,0.97890997,3.280289e-05,0.005727381,0.00016885792
2021-08-13,3.6511017e-06,0.1744243,0.80332065,0.97774494,0.97774494,3.15837e-05,0.0056199376,0.00016405713
2021-08-16,4.035233e-06,0.16803843,0.8090982,0.9771366,0.9771366,2.9487954e-05,0.005430281,0.00017649322
2021-08-17,5.496497e-06,0.10776518,0.86979735,0.97756255,0.97756255,2.8682602e-05,0.0053556142,0.00024496973
2021-08-18,3.6789252e-06,0.086097464,0.89714855,0.983246,0.983246,3.5372377e-05,0.0059474683,0.00021958526
2021-08-19,3.1098737e-06,0.077828035,0.9073762,0.9852043,0.9852043,4.6195397e-05,0.0067967195,0.00021018737
2021-08-20,4.3693917e-06,0.09511427,0.8860258,0.9811401,0.9811401,4.5170797e-05,0.0067209224,0.00023167601
2021-08-23,2.8103689e-06,0.1339158,0.84930927,0.98322505,0.98322505,5.0090228e-05,0.007077445,0.00016753364
2021-08-24,2.3585515e-06,0.15529051,0.828169,0.9834595,0.9834595,5.5194e-05,0.0074292663,0.00014259228
2021-08-25,2.5549425e-06,0.18325303,0.79735583,0.9806089,0.9806089,4.8373215e-05,0.0069550853,0.00013175838
2021-08-26,3.6918848e-06,0.17811447,0.7992111,0.97732556,0.97732556,4.1794672e-05,0.00646488,0.00016282142
2021-08-27,4.110986e-06,0.11512326,0.8654653,0.98058856,0.98058856,4.373547e-05,0.0066132797,0.00021178156
2021-08-30,3.1473278e-06,0.12775944,0.85480946,0.9825689,0.9825689,5.070792e-05,0.007120949,0.00018055839
2021-08-31,2.4131637e-06,0.18247709,0.79878974,0.9812668,0.98126686,4.8749345e-05,0.006982073,0.00012881745
2021-09-01,4.030468e-06,0.130207,0.84959424,0.97980124,0.97980124,4.1861378e-05,0.006470037,0.00019954034
2021-09-02,3.4880804e-06,0.16595611,0.81297374,0.9789299,0.9789299,3.9611237e-05,0.0062937457,0.00016554628
2021-09-03,3.4967836e-06,0.17981426,0.7979108,0.9777251,0.9777251,3.70737e-05,0.0060888175,0.00015698305
2021-09-07,5.424983e-06,0.1546535,0.81974745,0.97440094,0.97440094,3.3111257e-05,0.005754238,0.00021192116
2021-09-08,5.2414866e-06,0.13070814,0.8458446,0.9765528,0.9765528,3.4762805e-05,0.0058959993,0.00022354409
2021-09-09,5.5371534e-06,0.13349034,0.84224087,0.9757312,0.9757312,3.4903213e-05,0.005907894,0.00022815928
2021-09-10,5.114882e-06,0.11718564,0.8606762,0.9778619,0.9778619,3.7607053e-05,0.006132459,0.0002310441
2021-09-13,4.2457978e-06,0.08417749,0.8978668,0.9820443,0.9820443,4.517321e-05,0.0067211017,0.00023645934
2021-09-14,4.432902e-06,0.103100985,0.8774111,0.9805121,0.98051214,4.5278364e-05,0.00672892,0.00022746927
2021-09-15,3.945837e-06,0.088915065,0.8935631,0.98247814,0.98247814,4.738987e-05,0.00688403,0.00022519511
2021-09-16,3.1385784e-06,0.1104018,0.8731788,0.9835806,0.9835806,5.2172374e-05,0.0072230445,0.0001911505
2021-09-17,3.6488777e-06,0.10476147,0.8776893,0.9824508,0.9824508,4.9041002e-05,0.0070029283,0.00020792254
2021-09-20,2.4206404e-06,0.070306525,0.91709715,0.9874037,0.9874037,6.487008e-05,0.008054197,0.00019217061
2021-09-21,1.9453846e-06,0.06316866,0.92585534,0.989024,0.989024,8.223178e-05,0.009068174,0.00017723959
2021-09-22,2.113971e-06,0.10162881,0.88528025,0.98690903,0.98690903,7.816085e-05,0.008840863,0.00016148317
2021-09-23,2.3061673e-06,0.08707957,0.9000032,0.9870828,0.9870828,8.0523045e-05,0.008973463,0.00017853433
2021-09-24,1.4756274e-06,0.11923559,0.869188,0.9884236,0.9884236,8.7090695e-05,0.00933224,0.00012746843
2021-09-27,1.904431e-06,0.137601,0.84840786,0.9860089,0.9860089,7.742814e-05,0.008799327,0.00013611715
2021-09-28,2.294275e-06,0.13683517,0.8478638,0.98469895,0.98469895,6.887546e-05,0.008299124,0.00014994234
2021-09-29,1.6892558e-06,0.06200242,0.92779183,0.98979425,0.98979425,0.000118438096,0.010882927,0.00016552008
2021-09-30,1.5883953e-06,0.11642361,0.8716255,0.9880491,0.9880491,0.00011171398,0.010569483,0.00013290999
2021-10-01,1.9237307e-06,0.06451579,0.9245598,0.98907554,0.98907554,0.00011710303,0.010821415,0.00017609392
2021-10-04,1.5642647e-06,0.08159096,0.9079847,0.9895756,0.9895756,0.00011891677,0.010904896,0.00015005836
2021-10-05,1.4861096e-06,0.063748755,0.9266762,0.990425,0.990425,0.00012368066,0.011121181,0.00015520712
2021-10-06,1.188425e-06,0.10131819,0.88883406,0.99015224,0.99015224,0.00012268609,0.011076375,0.000120679724
2021-10-07,1.5135284e-06,0.07854332,0.9112969,0.9898402,0.9898402,0.00011182648,0.010574804,0.00014897241
2021-10-08,9.73569e-07,0.1415467,0.84824157,0.9897883,0.9897883,0.000108993234,0.010439983,9.533852e-05
2021-10-11,1.486863e-06,0.09984515,0.8892509,0.98909605,0.98909605,9.39985e-05,0.009695282,0.00013635997
2021-10-12,1.3515712e-06,0.10223171,0.8872584,0.98949015,0.98949015,9.0618916e-05,0.009519397,0.00012860044
2021-10-13,1.9128079e-06,0.09804215,0.8896276,0.9876697,0.9876697,8.247187e-05,0.009081403,0.00015513077
2021-10-14,1.876852e-06,0.10423008,0.8833537,0.9875838,0.9875838,7.6419274e-05,0.008741812,0.00015116174
2021-10-15,1.1154536e-06,0.123929925,0.86580706,0.989737,0.989737,9.774274e-05,0.009886493,0.000108686625
2021-10-18,1.0954092e-06,0.1336004,0.8558602,0.9894606,0.9894606,9.2531074e-05,0.009619308,0.00010393456
2021-10-19,1.2392967e-06,0.14501506,0.84333444,0.9883495,0.9883495,8.131473e-05,0.0090174675,0.00010637281
2021-10-20,1.0484205e-06,0.18218602,0.80550224,0.98768824,0.98768824,7.797161e-05,0.008830153,8.515604e-05
2021-10-21,1.459309e-06,0.17191316,0.81416833,0.9860815,0.9860815,6.639576e-05,0.008148359,0.00010484657
2021-10-22,1.8058665e-06,0.18021354,0.80372536,0.98393893,0.98393893,5.6522967e-05,0.007518176,0.00011243751
2021-10-25,3.1120437e-06,0.120545566,0.8624346,0.9829802,0.9829802,4.750397e-05,0.0068923123,0.00018284834
2021-10-26,1.8006233e-06,0.17558768,0.8087131,0.9843008,0.98430073,4.729454e-05,0.0068771024,0.00011469517
2021-10-27,3.0233784e-06,0.13178414,0.8507682,0.98255235,0.98255235,4.0137904e-05,0.006335448,0.00017328284
2021-10-28,3.1706763e-06,0.09390115,0.8902953,0.9841965,0.9841965,3.9990897e-05,0.006323836,0.00020063107
2021-10-29,1.7526105e-06,0.17162398,0.8131286,0.98475254,0.98475254,4.710191e-05,0.006863083,0.00011494439
2021-11-01,3.260693e-06,0.118090734,0.864603,0.98269373,0.98269373,4.0634633e-05,0.00637453,0.0001884111
2021-11-02,2.4640399e-06,0.17553496,0.80604297,0.98157793,0.98157793,3.867116e-05,0.006218614,0.0001337548
2021-11-03,2.8513389e-06,0.16160999,0.8195873,0.9811973,0.9811973,3.6235913e-05,0.006019627,0.00015164516
2021-11-04,3.267348e-06,0.1673758,0.8121279,0.9795037,0.9795037,3.817791e-05,0.0061788275,0.00015941153
2021-11-05,3.6847246e-06,0.16749647,0.8106854,0.97818184,0.97818184,3.768628e-05,0.006138915,0.00016888337
2021-11-08,4.4053654e-06,0.14334993,0.8346123,0.97796226,0.97796226,3.6036465e-05,0.006003038,0.00019990093
2021-11-09,3.263027e-06,0.18122715,0.7969589,0.9781861,0.9781861,3.4545803e-05,0.005877568,0.00014958456
2021-11-10,4.2118436e-06,0.1481389,0.82996553,0.9781044,0.9781044,3.300988e-05,0.0057454226,0.00019236038
2021-11-11,4.4230906e-06,0.0887744,0.8925186,0.98129296,0.98129296,4.1722917e-05,0.006459328,0.00023643993
2021-11-12,3.347973e-06,0.19383869,0.7827395,0.9765782,0.97657824,4.166326e-05,0.0064547085,0.00014294246
2021-11-15,4.953293e-06,0.12631649,0.8513784,0.97769487,0.97769487,4.6383044e-05,0.0068105096,0.00022206966
2021-11-16,4.6073665e-06,0.15817788,0.8181108,0.97628874,0.9762887,4.4445926e-05,0.0066667777,0.0001943113
2021-11-17,4.2474067e-06,0.15574412,0.82169175,0.9774359,0.9774359,4.321081e-05,0.006573493,0.00018823725
2021-11-18,4.5982283e-06,0.15760258,0.818746,0.9763486,0.9763485,4.0820483e-05,0.006389091,0.00019441657
2021-11-19,4.5520183e-06,0.16174921,0.8144649,0.9762142,0.9762142,3.9638995e-05,0.0062959506,0.00019137522
